Id,SalePrice
1461,119653.45415327777
1462,158305.06673560184
1463,182847.45551101485
1464,202190.82316216445
1465,192830.0175834822
1466,171800.06160963257
1467,175872.4858323241
1468,163964.6534116547
1469,191325.994721968
1470,118122.13326147369
1471,188429.21264722417
1472,98329.8842059318
1473,95518.72953875054
1474,145057.41867579182
1475,109072.16497886623
1476,358642.9814297148
1477,251931.4362142015
1478,292769.3021686102
1479,294004.2547290721
1480,492638.9339078699
1481,335603.91005008895
1482,220285.81344283625
1483,177231.27320564803
1484,156597.58001381892
1485,188636.10078438473
1486,195737.25892042255
1487,331579.3394480679
1488,236060.97560936536
1489,186540.13896954744
1490,241815.85719822987
1491,190591.63305167324
1492,92820.61951178429
1493,169937.63489564884
1494,289182.3544064654
1495,295623.494241894
1496,229429.68299245942
1497,173187.72305133817
1498,160379.26783244323
1499,157834.03749623618
1500,152072.60369355642
1501,168628.25757579433
1502,147342.79709842833
1503,286483.66916975443
1504,240392.87485796039
1505,226113.84932971193
1506,193980.8057327061
1507,250013.41491705118
1508,199847.10194322854
1509,162516.01997342083
1510,138758.43873664472
1511,147575.93898738004
1512,175712.21905213178
1513,145255.85852724063
1514,156028.92014076057
1515,181393.69057570788
1516,151432.10191910437
1517,176584.97041837554
1518,137724.62590144243
1519,206696.61231085114
1520,126506.26451390125
1521,128713.55851774085
1522,176397.93494657535
1523,108850.3799430418
1524,121272.17243841749
1525,120582.68309527819
1526,106984.60519061853
1527,106300.49844823578
1528,145076.65259634456
1529,149839.20044839222
1530,189595.71423606534
1531,100745.82744860442
1532,98751.33373493087
1533,145854.76587698187
1534,123069.13547375321
1535,155568.2577602707
1536,108006.01803778882
1537,63789.345874191386
1538,150002.72451802087
1539,187047.1369734933
1540,94335.44600089398
1541,141483.37787600697
1542,143174.7433059702
1543,185345.03491557954
1544,87239.30255304335
1545,113335.10075718471
1546,131276.5863799798
1547,127809.08789477036
1548,137826.9384138887
1549,121264.21957693486
1550,128351.5609941958
1551,111321.35109705893
1552,130603.42807769428
1553,148335.75207072595
1554,118429.95499398363
1555,166428.6145493639
1556,87086.84821775448
1557,105580.5156497495
1558,100445.43489872933
1559,73223.87671621924
1560,135164.36568387982
1561,126770.4243767444
1562,124986.3204433796
1563,115024.05381758051
1564,156531.59965912485
1565,144875.60786463498
1566,243392.67331529607
1567,75503.92549955202
1568,237207.31003933316
1569,124195.83234633012
1570,140771.45538796324
1571,123157.05230017309
1572,142235.32182286147
1573,234706.2430917995
1574,123233.1599974645
1575,227688.8836005807
1576,246878.13865850295
1577,175774.43894184742
1578,139582.22623476043
1579,147632.69683113627
1580,196182.07597470278
1581,160929.44293721425
1582,121057.27888525966
1583,302582.51918276923
1584,217111.4847620834
1585,134409.9569942643
1586,69746.52681426106
1587,99712.22463711137
1588,151583.51410302377
1589,95933.51932168868
1590,135118.39939059096
1591,91421.91721674196
1592,114366.1493966108
1593,119753.91277388966
1594,115015.68191919177
1595,105858.93601009402
1596,222316.235062473
1597,195660.48069893022
1598,220039.46827708342
1599,165364.86151669372
1600,156596.8854337526
1601,65384.80646375693
1602,112596.04038559773
1603,81884.54731381843
1604,272413.48979359836
1605,241169.8152622169
1606,174126.69411052827
1607,188819.81055937675
1608,216338.51321959915
1609,180746.99117254198
1610,151422.98941362242
1611,136866.3929746759
1612,169056.95974289317
1613,167703.53592930472
1614,124130.77610947903
1615,93427.84994419738
1616,78870.75558373111
1617,93705.4482930229
1618,125662.70433087344
1619,134739.3973543099
1620,158379.29475365375
1621,140974.8193353135
1622,140324.18312729243
1623,261467.50525393616
1624,213971.11031310566
1625,117704.84514959897
1626,171620.65390045266
1627,196865.77718816797
1628,273199.31081829156
1629,173885.97528273193
1630,354568.42189213994
1631,224250.63009143228
1632,241788.61420446198
1633,169507.9927624251
1634,182038.8673002852
1635,176023.6523650728
1636,150838.86314114564
1637,204398.08474822695
1638,179507.69739785025
1639,182855.05804225328
1640,247234.76483323105
1641,180043.50420286777
1642,242051.50110194128
1643,214222.36935478414
1644,236797.16947267627
1645,198457.89870759117
